pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
PW0,14697T,146971,2,1
PW1,14697R,146971,2,1
PW10,14698T,146984,2,1
PW100,14708T,147081,2,1
PW101,14708R,147081,2,1
PW102,14708T,147081,5,1
PW103,14708R,147081,5,1
PW104,14708T,147082,2,1
PW105,14708R,147082,2,1
PW106,14708T,147083,2,1
PW107,14708R,147083,2,1
PW108,14708T,147083,4,0
PW109,14708R,147083,4,0
PW10A,14708A,147081,2,1
PW11,14698R,146984,2,1
PW110,14708T,147083,5,1
PW111,14708R,147083,5,1
PW112,14708T,147084,2,1
PW113,14708R,147084,2,1
PW114,14708T,147084,4,0
PW115,14708R,147084,4,0
PW116,14708T,147085,2,1
PW117,14708R,147085,2,1
PW118,14708T,147086,2,1
PW119,14708R,147086,2,1
PW11A,14708A,147081,5,1
PW12,14699T,146991,2,1
PW120,14709T,147091,2,1
PW121,14709R,147091,2,1
PW122,14709T,147092,2,1
PW123,14709R,147092,2,1
PW124,14709T,147092,4,0
PW125,14709R,147092,4,0
PW126,14709T,147092,5,1
PW127,14709R,147092,5,1
PW128,14710T,147101,2,1
PW129,14710R,147101,2,1
PW12A,14708A,147082,2,1
PW13,14699R,146991,2,1
PW130,14710T,147102,5,1
PW131,14710R,147102,5,1
PW132,14710T,147103,2,1
PW133,14710R,147103,2,1
PW134,14710T,147103,4,0
PW135,14710R,147103,4,0
PW136,14710T,147104,2,1
PW137,14710R,147104,2,1
PW138,14711T,147111,2,1
PW139,14711R,147111,2,1
PW13A,14708A,147083,2,1
PW14,14699T,146991,4,1
PW140,14711T,147111,4,0
PW141,14711R,147111,4,0
PW142,14711T,147112,2,1
PW143,14711R,147112,2,1
PW144,14711T,147112,4,0
PW145,14711R,147112,4,0
PW146,14711T,147112,5,1
PW147,14711R,147112,5,1
PW148,14711T,147113,5,1
PW149,14711R,147113,5,1
PW14A,14708A,147083,4,0
PW15,14699R,146991,4,1
PW150,14712T,147121,2,1
PW151,14712R,147121,2,1
PW152,14712T,147121,4,0
PW153,14712R,147121,4,0
PW154,14712T,147122,2,1
PW155,14712R,147122,2,1
PW156,14712T,147122,4,0
PW157,14712R,147122,4,0
PW158,14713T,147131,2,1
PW159,14713R,147131,2,1
PW15A,14708A,147083,5,1
PW16,14699T,146991,5,1
PW160,14713T,147131,4,0
PW161,14713R,147131,4,0
PW162,14713T,147132,2,1
PW163,14713R,147132,2,1
PW164,14713T,147132,4,0
PW165,14713R,147132,4,0
PW166,14713T,147132,5,1
PW167,14713R,147132,5,1
PW168,14713T,147133,5,1
PW169,14713R,147133,5,1
PW16A,14708A,147084,2,1
PW17,14699R,146991,5,1
PW170,14714T,147141,2,1
PW171,14714R,147141,2,1
PW172,14714T,147141,4,0
PW173,14714R,147141,4,0
PW174,14714T,147142,2,1
PW175,14714R,147142,2,1
PW176,14714T,147142,4,0
PW177,14714R,147142,4,0
PW178,14714T,147142,5,1
PW179,14714R,147142,5,1
PW17A,14708A,147084,4,0
PW18,14699T,146993,2,1
PW180,14714T,147143,4,0
PW181,14714R,147143,4,0
PW182,14714T,147144,5,1
PW183,14714R,147144,5,1
PW184,14716T,147161,2,1
PW185,14716R,147161,2,1
PW186,14716T,147161,4,0
PW187,14716R,147161,4,0
PW188,14716T,147162,2,1
PW189,14716R,147162,2,1
PW18A,14708A,147085,2,1
PW19,14699R,146993,2,1
PW190,14716T,147162,4,0
PW191,14716R,147162,4,0
PW192,14716T,147162,5,1
PW193,14716R,147162,5,1
PW194,14717T,147171,2,1
PW195,14717R,147171,2,1
PW196,14717T,147171,4,0
PW197,14717R,147171,4,0
PW198,14717T,147172,2,1
PW199,14717R,147172,2,1
PW19A,14708A,147086,2,1
PW2,14697T,146972,2,1
PW20,14699T,146993,4,0
PW200,14717T,147172,4,0
PW201,14717R,147172,4,0
PW202,14717T,147172,5,1
PW203,14717R,147172,5,1
PW204,14717T,147173,5,1
PW205,14717R,147173,5,1
PW206,14719T,147191,2,1
PW207,14719R,147191,2,1
PW208,14719T,147192,2,1
PW209,14719R,147192,2,1
PW21,14699R,146993,4,0
PW210,14719T,147192,5,1
PW211,14719R,147192,5,1
PW212,14719T,147193,2,1
PW213,14719R,147193,2,1
PW214,14719T,147194,2,1
PW215,14719R,147194,2,1
PW216,14718T,147181,2,1
PW218,14741T,147411,2,1
PW219,14741R,147411,2,1
PW22,14700T,147001,2,1
PW220,14741T,147411,4,0
PW221,14741R,147411,4,0
PW222,14741T,147411,5,1
PW223,14741R,147411,5,1
PW224,14741T,147412,2,1
PW225,14741R,147412,2,1
PW226,14741T,147412,4,0
PW227,14741R,147412,4,0
PW228,14740T,147401,2,1
PW229,14740R,147401,2,1
PW23,14700R,147001,2,1
PW230,14740T,147401,4,0
PW231,14740R,147401,4,0
PW232,14740T,147402,2,1
PW233,14740R,147402,2,1
PW234,14740T,147402,4,0
PW235,14740R,147402,4,0
PW236,14740T,147402,5,1
PW237,14740R,147402,5,1
PW238,14740T,147403,5,1
PW239,14740R,147403,5,1
PW24,14700T,147002,2,1
PW240,14740T,147404,2,1
PW241,14740R,147404,2,1
PW242,14740T,147404,4,0
PW243,14740R,147404,4,0
PW244,14739T,147391,2,1
