route_id,agency_id,route_short_name,route_type,route_color,route_text_color,route_long_name
68,1,1,0,BE1622,FFFFFF,
67,1,10,0,BE1622,FFFFFF,
887,1,100,3,1D71B8,FFFFFF,
824,1,101,3,1D71B8,FFFFFF,
150,1,102,3,1D71B8,FFFFFF,
148,1,103,3,1D71B8,FFFFFF,
146,1,104,3,1D71B8,FFFFFF,
144,1,105,3,1D71B8,FFFFFF,
143,1,106,3,1D71B8,FFFFFF,
54,1,11,0,BE1622,FFFFFF,
183,1,112,3,1D71B8,FFFFFF,
180,1,116,3,1D71B8,FFFFFF,
181,1,117,3,1D71B8,FFFFFF,
825,1,122,3,1D71B8,FFFFFF,
202,1,123,3,1D71B8,FFFFFF,
191,1,125,3,1D71B8,FFFFFF,
214,1,135,3,1D71B8,FFFFFF,
244,1,136,3,1D71B8,FFFFFF,
245,1,137,3,1D71B8,FFFFFF,
217,1,138,3,1D71B8,FFFFFF,
218,1,139,3,1D71B8,FFFFFF,
53,1,14,0,BE1622,FFFFFF,
233,1,141,3,1D71B8,FFFFFF,
228,1,143,3,1D71B8,FFFFFF,
51,1,16,0,BE1622,FFFFFF,
124,1,162,3,1D71B8,FFFFFF,
126,1,163,3,1D71B8,FFFFFF,
826,1,168,3,1D71B8,FFFFFF,
898,1,17,0,BE1622,FFFFFF,
133,1,178,3,1D71B8,FFFFFF,
827,1,182,3,1D71B8,FFFFFF,
175,1,185,3,1D71B8,FFFFFF,
47,1,19,0,BE1622,FFFFFF,
828,1,196,3,1D71B8,FFFFFF,
732,1,203,3,1D71B8,FFFFFF,
121,1,205,3,1D71B8,FFFFFF,
55,1,21,0,BE1622,FFFFFF,
829,1,216,3,1D71B8,FFFFFF,
830,1,220,3,1D71B8,FFFFFF,
158,1,221,3,1D71B8,FFFFFF,
159,1,222,3,1D71B8,FFFFFF,
160,1,223,3,1D71B8,FFFFFF,
831,1,226,3,1D71B8,FFFFFF,
165,1,227,3,1D71B8,FFFFFF,
63,1,23,0,BE1622,FFFFFF,
210,1,232,3,1D71B8,FFFFFF,
620,1,241,3,1D71B8,FFFFFF,
186,1,243,3,1D71B8,FFFFFF,
189,1,246,3,1D71B8,FFFFFF,
65,1,25,0,BE1622,FFFFFF,
232,1,253,3,1D71B8,FFFFFF,
215,1,261,3,1D71B8,FFFFFF,
66,1,27,0,BE1622,FFFFFF,
116,1,282,3,0070C0,FFFFFF,
201,1,301,3,1D71B8,FFFFFF,
203,1,304,3,1D71B8,FFFFFF,
136,1,311,3,1D71B8,FFFFFF,
134,1,312,3,1D71B8,FFFFFF,
70,1,32,0,BE1622,FFFFFF,
832,1,323,3,1D71B8,FFFFFF,
113,1,330,3,0070C0,FFFFFF,
234,1,331,3,1D71B8,FFFFFF,
235,1,331B,3,1D71B8,FFFFFF,
117,1,335,3,1D71B8,FFFFFF,
464,1,343,3,1D71B8,FFFFFF,
50,1,36,0,BE1622,FFFFFF,
833,1,368,3,1D71B8,FFFFFF,
184,1,381,3,1D71B8,FFFFFF,
112,1,382,3,1D71B8,FFFFFF,
404,1,385,3,1D71B8,FFFFFF,
58,1,40,0,BE1622,FFFFFF,
PV1_403,PV1,403,3,662483,FFFFFF,
PV1_405,PV1,405,3,662483,FFFFFF,
PV1_406,PV1,406,3,662483,FFFFFF,
PV1_407,PV1,407,3,662483,FFFFFF,
PV1_408,PV1,408,3,662483,FFFFFF,
PV1_409,PV1,409,3,662483,FFFFFF,
PV1_409B,PV1,409B,3,662483,FFFFFF,
