from_stop_id,to_stop_id,transfer_type
14697R,14697T,
14697R,14713T,
14697T,14697R,
14697T,14713R,
14697T,14713T,
14702R,14702T,
14702R,14704T,
14702R,14723T,
14702T,14702R,
14702T,14704R,
14702T,14704T,
14702T,14723R,
14702T,14723T,
14703R,14742R,3
14703R,14742T,3
14703T,14742T,3
14704R,14702T,
14704R,14704T,
14704R,14743T,
14704T,14702R,
14704T,14702T,
14704T,14704R,
14704T,14743R,
14704T,14743T,
14708A,14708R,
14708A,14708T,
14708R,14708A,
14708R,14708T,
14708T,14708A,
14708T,14708R,
14710R,14710T,
14710R,14726R,
14710R,14726T,
14710T,14710R,
14710T,14726R,
14710T,14726T,
14713R,14697T,
14713R,14713T,
14713T,14697R,
14713T,14697T,
14713T,14713R,
14714R,14714T,
14714R,14715T,
14714T,14714R,
14714T,14715T,
14715T,14714R,
14715T,14714T,
14723R,14702T,
14723R,14723T,
14723T,14702R,
14723T,14702T,
14723T,14723R,
14726R,14710R,
14726R,14710T,
14726R,14726T,
14726T,14710R,
14726T,14710T,
14726T,14726R,
14742R,14703T,3
14742T,14703R,3
14742T,14703T,3
14743R,14704T,
14743R,14743T,
14743T,14704R,
14743T,14704T,
14743T,14743R,
